used to ~,よく～したなぁ,I used to have more confidence in my English. I forgot everything but.,英語には自信があったんやけどなぁ。全部忘れたけど
That’s what~,それが～というもの。,That’s what you do. That is completely  deceiving.,それがお前のやり方か。完全に詐欺やな。
I’d appreciate it if ~,〜だとありがたいのですが,I'd appreciate it if you sent any additions to this list to.,このリストへの追加を送ってくれるとうれしいです
should have~,～すればよかった。,I should have studied more in  college.,学生時代勉強しておけばよかった
Could you ~ ?,〜していただけますか？,Could you briefly introduce yourself?,簡単に自己紹介していただけませんか？
Thank you for ~,〜をありがとう,Thank you for listening.,御静聴ありがとうございます
Excuse me,すみません,Excuse me?,なんだって？
What’s up?,どうしたの？,What’s up for the evening?,今夜どうするの？
What’s wrong?,何かあったの？,What’s wrong with you?,どこか調子悪いの？
You look ~,〜のようだね,You look happy.,幸せそうだね！
I wish ~,〜だったならなぁ,I wish I could swim.,泳げたらいいな。
I know you~,あなたが～なのはわかってる。,I know you can not study.,あなたが勉強できないってのはわかってるから。
I never thought~,まさか～だとは思わなかった。,I never thought of that.,それは予想外やわ。
It seems~,～のようだ,It seems will rain tomorrow.,明日は雨っぽいな。
I am sure~,～だと確信している。,I am sure you are busy.,あなたはきっと忙しいよね。
I am afraid~,～ではないかと思う,I am afraid I can not.,残念やけど、できないわ。
I am sorry~,～でごめんなさい。,I am sorry I am late.,遅れてごめんなさい。
I am sorry to~,～してごめんなさい。,I am sorry to interrupt you.,邪魔してごめんなさい。
I am tired~,～にして疲れている,Let me sleep because I am all tired out.,めっちゃ疲れてるから寝させてくれ。
How was ~?,〜はどうだった？,How was your vacation?,休暇はどうだった？
How’s ~ going?,〜はどうなってる？,How’s your trip going?,旅の方はどうだい？
How did you ~ ?,どうやって〜したの？,How did you come up with that idea?,どうやってそんなこと思いついたの？
I’m glad to ~,〜して嬉しいです,I’m glad to hear from you.,あなたから連絡きて嬉しいよ
Have you ~,〜したことありますか？,Have you decided yet?,もう決心したの？
I hope ~ ,〜を願います,I hope the beach is not crowded tomorrow.,明日、海が混んでないといいですね
I have to ~,〜しなければならない,I have to go.,行かなくちゃ
I need to ~  ,〜する必要がある,Do I need to buy tickets for the event?,そのイベントのためにチケットを買う必要がありますか？
You don’t have to ~ ,〜しなくていい,You don't have to worry.,心配する必要はないんだよ。
Should I ~ ?,〜すべきですか？,Shall I open the door?,ドアを開けましょうか？
be like ~,〜のようだ,What is he like?,彼はどんな人？
feel like ~  ,〜したい気分だ,Do you feel like eating out for lunch?,ランチは外食にしませんか？
That sounds great.,とてもいいね,That sounds fantastic!,最高だね！
what does ... mean?,...はどういう意味ですか？,What does "awesome" mean?,awesomeってどういう意味ですか？
It would be better if ~,〜したほうがいいです,It would be better if we discussed this again.,またこれについて話し合えるといいいのですが。
I take the liberty of ~ ,勝手ながら〜,I took the liberty of ordering for you.,君のも勝手に注文しといたよ。
It’s time to ~ ,〜する時間です,It is time to take the last order.,ラストオーダーのお時間です
every time ~,〜のたびに,every time there is an opportunity,機会のあるたびに
It depends ~ ,それは〜によります,It depends on how you look at it,物は考え様
have no choice but ~,〜するしかない,He had no choice but to study English.,彼は英語を勉強するしかなかった
What I’m saying is ~,要するに〜,What I’m saying is I’m worried about you,要するに、私はあなたのことを心配してるのです
thank to ~,〜のおかげで,Thank to your help, everything is going well.,あなたの助けのおかげで、すべて上手くいく
I  managed to~,なんとか～できました。,I  managed to make both ends meet.,なんとか帳尻を合わせた。
might have~,～だったかもね,I might have said something like that.  I don’t recall however.,確かにそんなこと言ったかもしれないな。記憶にはないけどね。
That’s how~,そのように～する,That’s how I feel.,私はそう感じる。
It doesn’t matter ~,～だろうと関係ない,It doesn’t matter to me. Just stay away from me.,どうでもいいわ。どっかに行ってくれ。
would~,よく～したよな,I would go to overseas before the COVID-19  expands.,コロナの前はよく海外に行ってたなぁ。
I want … to ~,…に〜してほしい,I want you to tell me about your plan.,あなたの計画を知りたい
I’d like to ~ ,〜したいです,I’d like to go to airport.,空港に行きたいです
I’d rather ~ ,むしろ〜したいです,I’d rather drink wine than beer tonight.,今夜は、ビールよりむしろワインをのみたい
I can’t help ~ ,〜せざるをえない,I couldn’t help laughing when he made a strange face.,彼が変顔をしたので笑わずにはいられなかった
I’m dying ~ ,〜したくてたまらない,I’m dying to take a holiday.,休暇を取りたくて仕方がない
I’m willing to ~ ,〜する気がある,I’m willing to see her parents.,彼女のご両親に会う覚悟はできています
I wander ~,〜だろうか,I wonder about that self-styled manager.,あの自称経営者は怪しいと思う。
I am used to~,～には慣れている。,I am not used to speaking English.,英語話すのに慣れていないんです。
I am ready~,～の準備ができている。,I am all ready.,準備できました！
I’m looking for 〜 ,〜を探しています,I’m looking for a present for my niece.,姪のためのプレゼントを探しているのですが
How much is this?,これはいくらですか？,How much is that car?,その車はいくらですか？
do you have ~?,〜はありますか？,Do you have this in another color?,これの色違いはありますか？
Does this bus go to 〜?,このバスは〜に行きますか？,Does this bus go to Tokyo?,このバスは東京に行きますか？
What time does ~ leave?,〜は何時に出発しますか？,What time does the bus leave?,バスは何時に出発しますか？
